378585, 3,2,3,1,1.64,-1.78,9.15,-1.19,0.13,15.81,-8.69,9.56,-22.00,50.38,9.63,8.06,0.08,-0.39,-0.47,1.64,-1.35,9.57,-0.90,0.10,0.05,0.42,-49.71,-9.66,-8.07,
378598, 3,2,3,1,1.78,-1.76,9.08,-0.50,0.13,15.63,-8.69,9.56,-22.00,50.19,9.63,8.06,0.14,-0.40,-0.48,1.64,-1.36,9.57,-0.90,0.10,0.05,0.42,-49.56,-9.64,-8.10,
378607, 3,2,3,1,1.77,-1.76,9.15,0.13,0.69,15.25,-8.69,9.56,-22.00,50.06,9.56,8.06,0.13,-0.39,-0.41,1.63,-1.36,9.57,-0.90,0.10,0.05,0.42,-49.41,-9.61,-8.13,
378617, 3,2,3,1,1.77,-1.66,9.21,0.62,1.00,14.81,-8.69,10.75,-21.56,49.44,9.56,8.13,0.13,-0.29,-0.35,1.63,-1.37,9.57,-0.90,0.10,0.05,0.42,-48.80,-9.60,-8.18,
378626, 3,2,3,1,1.78,-1.61,9.17,1.00,0.94,14.75,-8.69,10.75,-21.56,49.31,9.56,8.19,0.15,-0.23,-0.39,1.63,-1.38,9.57,-0.90,0.10,0.05,0.41,-48.66,-9.59,-8.22,
378638, 3,2,3,1,1.78,-1.54,9.18,1.37,1.06,15.38,-8.69,10.75,-21.56,49.19,9.56,8.19,0.15,-0.15,-0.38,1.62,-1.38,9.57,-0.90,0.10,0.05,0.41,-48.51,-9.57,-8.25,
378650, 3,2,3,1,1.52,-1.58,9.30,1.50,1.19,15.88,-8.69,10.75,-21.56,49.00,9.50,8.25,-0.09,-0.18,-0.26,1.62,-1.39,9.57,-0.90,0.10,0.05,0.41,-48.19,-9.52,-8.30,
378659, 3,2,3,1,1.50,-1.51,9.24,1.62,0.37,16.81,-8.69,10.75,-21.56,48.88,9.50,8.25,-0.11,-0.11,-0.32,1.62,-1.39,9.57,-0.90,0.10,0.05,0.41,-48.19,-9.52,-8.30,
378669, 3,2,3,1,1.48,-1.50,9.17,2.06,-0.62,17.87,-8.69,10.75,-23.69,48.25,9.44,8.31,-0.13,-0.11,-0.39,1.61,-1.39,9.57,-0.91,0.10,0.05,0.41,-47.60,-9.50,-8.32,
378680, 3,2,3,1,1.37,-1.54,9.13,2.25,-1.50,18.94,-8.69,10.75,-23.69,48.06,9.44,8.31,-0.24,-0.14,-0.43,1.61,-1.40,9.57,-0.91,0.10,0.05,0.40,-47.22,-9.48,-8.33,
